Sample	stress	rpkm_sum	Sample Title	Cultivar	Variety	Variety2	Variety3	Type	Preparation	Preparation2	spoilage	inoculation_fortification	Fermentation (days)	Fermentation_class	Group	pH	conc_NaCl	g_L_lactic_acid
O111	pH	377887.1794	C152	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	3.87	36.93	8.5
O111	temperature	438938.4399	C152	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	3.87	36.93	8.5
O112	bile salt	0	C153	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	3.9	34.12	8.74
O112	osmosis	219.7424289	C153	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	3.9	34.12	8.74
O112	pH	372752.9729	C153	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	3.9	34.12	8.74
O112	temperature	284613.5417	C153	Itrana	Oliva di Gaeta	Oliva di Gaeta	Oliva di Gaeta	Green olives	Natural olives	Natural olives	None	None	515	365 < days ≤ 850	Daniele Mandarello	3.9	34.12	8.74
O114	bile salt	0	CY1	Ladoelia	Ladoelia	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Cipro	4.17	16.92894913	3.961293103
O114	osmosis	2271.653358	CY1	Ladoelia	Ladoelia	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Cipro	4.17	16.92894913	3.961293103
O114	pH	310661.9785	CY1	Ladoelia	Ladoelia	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Cipro	4.17	16.92894913	3.961293103
O114	temperature	755833.745	CY1	Ladoelia	Ladoelia	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Cipro	4.17	16.92894913	3.961293103
O116	bile salt	306.6022189	CY3	Ladoelia	Ladoelia	Others	Others	Green olives	Natural olives	Natural olives	None	None	300	240 < days ≤ 365	Cipro	4.45	15.5135075	1.907116667
