x	y	r
296	propylpropanoate	Lentilactobacillus_parafarraginis	NA
297	Pediococcus_parvulus	ethylbutanoate	0.328836283672264
298	ethylbutanoate	Pediococcus_parvulus	NA
299	Martelella_mediterranea	ethanol	-0.328626975534267
300	ethanol	Martelella_mediterranea	NA
301	Lentilactobacillus_parafarraginis	methylpropionate	0.32818376933431
302	methylpropionate	Lentilactobacillus_parafarraginis	NA
303	Alkalibacterium_pelagium	1-nonanol	-0.327862913462815
304	1-nonanol	Alkalibacterium_pelagium	NA
305	Halolactibacillus_alkaliphilus	2-pentanol	-0.327797666006725
306	2-pentanol	Halolactibacillus_alkaliphilus	NA
307	Paucilactobacillus_vaccinostercus	1-butanol	-0.327720241488901
308	1-butanol	Paucilactobacillus_vaccinostercus	NA
309	Alkalibacterium_pelagium	benzyl alcohol	-0.327497827268248
310	benzyl alcohol	Alkalibacterium_pelagium	NA
311	Ligilactobacillus_acidipiscis	2-methyl-1-propanol	-0.327475032087639
312	2-methyl-1-propanol	Ligilactobacillus_acidipiscis	NA
313	Halomonas_boliviensis	benzyl alcohol	-0.327429974171125
314	benzyl alcohol	Halomonas_boliviensis	NA
315	Marinilactibacillus_piezotolerans	1-propanol	-0.327326795805343
316	1-propanol	Marinilactibacillus_piezotolerans	NA
317	Pediococcus_parvulus	4-methoxyphenol	0.327030481278087
318	4-methoxyphenol	Pediococcus_parvulus	NA
319	Levilactobacillus_namurensis	ethanol	-0.326736866718374
320	ethanol	Levilactobacillus_namurensis	NA
321	Halolactibacillus_alkaliphilus	isoamylalcohol	-0.326718306150895
322	isoamylalcohol	Halolactibacillus_alkaliphilus	NA
323	Aerococcus_urinaeequi	ethyl-2-methylbutanoate	-0.326291148185853
324	ethyl-2-methylbutanoate	Aerococcus_urinaeequi	NA
325	Salinicola_salarius	ethanol	-0.32619472418779
326	ethanol	Salinicola_salarius	NA
327	Marinilactibacillus_psychrotolerans	isoamylacetate	-0.326097088210557
328	isoamylacetate	Marinilactibacillus_psychrotolerans	NA
329	Alcanivorax_gelatiniphagus	benzyl alcohol	-0.326001209847972
330	benzyl alcohol	Alcanivorax_gelatiniphagus	NA
331	Pediococcus_ethanolidurans	α-farnesene	-0.325895733580341
332	α-farnesene	Pediococcus_ethanolidurans	NA
333	Altericroceibacterium_indicum	ethanol	-0.325339842264683
334	ethanol	Altericroceibacterium_indicum	NA
335	Pediococcus_ethanolidurans	2-methyl-1-propanol	-0.325180225451828
336	2-methyl-1-propanol	Pediococcus_ethanolidurans	NA
337	Halomonas_boliviensis	ethanol	-0.32471920922733
338	ethanol	Halomonas_boliviensis	NA
339	Pediococcus_ethanolidurans	4-methoxyphenol	-0.324538792669976
340	4-methoxyphenol	Pediococcus_ethanolidurans	NA
341	Lentilactobacillus_kisonensis	isobutyric acid	0.324410784620857
342	isobutyric acid	Lentilactobacillus_kisonensis	NA
343	Rhodobacteraceae_bacterium	3-pentanol	-0.324085133816522
344	3-pentanol	Rhodobacteraceae_bacterium	NA
345	Alkalibacterium_olivapovliticus	isoamylacetate	-0.323794309322151
346	isoamylacetate	Alkalibacterium_olivapovliticus	NA
347	Lentilactobacillus_buchneri	ethyl-2-methylbutanoate	0.323702129359997
348	ethyl-2-methylbutanoate	Lentilactobacillus_buchneri	NA
